arm,omega,band_k,period_drive_steps,tau_drive_steps,samples_per_period,aliased,seed,n,ipc
A-readout,1.5486,1,4.0573,2.1525,4.0573,0,20260830,350,6.53
B-drive,1.5486,1,4.0573,2.1525,4.0573,0,20260830,350,6.53
A-readout,1.5486,2,4.0573,2.1525,2.0287,0,20260830,350,3.008
B-drive,1.5486,2,4.0573,2.1525,2.0287,0,20260830,350,4.147
A-readout,1.5486,3,4.0573,2.1525,1.3524,1,20260830,350,2.391
B-drive,1.5486,3,4.0573,2.1525,1.3524,1,20260830,350,3.485
A-readout,1.5486,4,4.0573,2.1525,1.0143,1,20260830,350,1.746
B-drive,1.5486,4,4.0573,2.1525,1.0143,1,20260830,350,2.87
A-readout,1.5486,6,4.0573,2.1525,0.6762,1,20260830,350,0.969
B-drive,1.5486,6,4.0573,2.1525,0.6762,1,20260830,350,1.786
A-readout,1.5486,8,4.0573,2.1525,0.5072,1,20260830,350,1.105
B-drive,1.5486,8,4.0573,2.1525,0.5072,1,20260830,350,1.415
A-readout,1.5486,12,4.0573,2.1525,0.3381,1,20260830,350,0.561
B-drive,1.5486,12,4.0573,2.1525,0.3381,1,20260830,350,1.076
A-readout,1.5486,16,4.0573,2.1525,0.2536,1,20260830,350,0.499
B-drive,1.5486,16,4.0573,2.1525,0.2536,1,20260830,350,0.42
A-readout,2.0,1,3.1416,1.6667,3.1416,0,20260830,350,5.847
B-drive,2.0,1,3.1416,1.6667,3.1416,0,20260830,350,5.847
A-readout,2.0,2,3.1416,1.6667,1.5708,1,20260830,350,2.325
B-drive,2.0,2,3.1416,1.6667,1.5708,1,20260830,350,3.507
A-readout,2.0,3,3.1416,1.6667,1.0472,1,20260830,350,1.775
B-drive,2.0,3,3.1416,1.6667,1.0472,1,20260830,350,2.852
A-readout,2.0,4,3.1416,1.6667,0.7854,1,20260830,350,1.401
B-drive,2.0,4,3.1416,1.6667,0.7854,1,20260830,350,2.299
A-readout,2.0,6,3.1416,1.6667,0.5236,1,20260830,350,0.992
B-drive,2.0,6,3.1416,1.6667,0.5236,1,20260830,350,1.404
A-readout,2.0,8,3.1416,1.6667,0.3927,1,20260830,350,0.773
B-drive,2.0,8,3.1416,1.6667,0.3927,1,20260830,350,1.147
A-readout,2.0,12,3.1416,1.6667,0.2618,1,20260830,350,0.513
B-drive,2.0,12,3.1416,1.6667,0.2618,1,20260830,350,0.421
A-readout,2.0,16,3.1416,1.6667,0.1963,1,20260830,350,0.659
B-drive,2.0,16,3.1416,1.6667,0.1963,1,20260830,350,0.414
A-readout,0.12,1,52.3599,27.7778,52.3599,0,20260831,350,1.327
B-drive,0.12,1,52.3599,27.7778,52.3599,0,20260831,350,1.327
A-readout,0.12,2,52.3599,27.7778,26.1799,0,20260831,350,0.62
B-drive,0.12,2,52.3599,27.7778,26.1799,0,20260831,350,2.284
A-readout,0.12,3,52.3599,27.7778,17.4533,0,20260831,350,1.578
B-drive,0.12,3,52.3599,27.7778,17.4533,0,20260831,350,3.293
A-readout,0.12,4,52.3599,27.7778,13.09,0,20260831,350,0.811
B-drive,0.12,4,52.3599,27.7778,13.09,0,20260831,350,3.889
A-readout,0.12,6,52.3599,27.7778,8.7266,0,20260831,350,0.936
B-drive,0.12,6,52.3599,27.7778,8.7266,0,20260831,350,4.374
A-readout,0.12,8,52.3599,27.7778,6.545,0,20260831,350,1.506
B-drive,0.12,8,52.3599,27.7778,6.545,0,20260831,350,3.945
A-readout,0.12,12,52.3599,27.7778,4.3633,0,20260831,350,0.317
B-drive,0.12,12,52.3599,27.7778,4.3633,0,20260831,350,5.407
A-readout,0.12,16,52.3599,27.7778,3.2725,0,20260831,350,0.778
B-drive,0.12,16,52.3599,27.7778,3.2725,0,20260831,350,5.676
A-readout,0.155,1,40.5367,21.5054,40.5367,0,20260831,350,1.437
B-drive,0.155,1,40.5367,21.5054,40.5367,0,20260831,350,1.437
A-readout,0.155,2,40.5367,21.5054,20.2683,0,20260831,350,0.893
B-drive,0.155,2,40.5367,21.5054,20.2683,0,20260831,350,2.954
A-readout,0.155,3,40.5367,21.5054,13.5122,0,20260831,350,2.018
B-drive,0.155,3,40.5367,21.5054,13.5122,0,20260831,350,3.856
A-readout,0.155,4,40.5367,21.5054,10.1342,0,20260831,350,0.959
B-drive,0.155,4,40.5367,21.5054,10.1342,0,20260831,350,4.236
A-readout,0.155,6,40.5367,21.5054,6.7561,0,20260831,350,0.968
B-drive,0.155,6,40.5367,21.5054,6.7561,0,20260831,350,3.933
A-readout,0.155,8,40.5367,21.5054,5.0671,0,20260831,350,1.726
B-drive,0.155,8,40.5367,21.5054,5.0671,0,20260831,350,4.656
A-readout,0.155,12,40.5367,21.5054,3.3781,0,20260831,350,0.495
B-drive,0.155,12,40.5367,21.5054,3.3781,0,20260831,350,5.702
A-readout,0.155,16,40.5367,21.5054,2.5335,0,20260831,350,1.102
B-drive,0.155,16,40.5367,21.5054,2.5335,0,20260831,350,5.846
A-readout,0.2001,1,31.4002,16.6583,31.4002,0,20260831,350,1.958
B-drive,0.2001,1,31.4002,16.6583,31.4002,0,20260831,350,1.958
A-readout,0.2001,2,31.4002,16.6583,15.7001,0,20260831,350,1.175
B-drive,0.2001,2,31.4002,16.6583,15.7001,0,20260831,350,3.524
A-readout,0.2001,3,31.4002,16.6583,10.4667,0,20260831,350,2.389
B-drive,0.2001,3,31.4002,16.6583,10.4667,0,20260831,350,4.162
A-readout,0.2001,4,31.4002,16.6583,7.8501,0,20260831,350,1.263
B-drive,0.2001,4,31.4002,16.6583,7.8501,0,20260831,350,4.144
A-readout,0.2001,6,31.4002,16.6583,5.2334,0,20260831,350,0.964
B-drive,0.2001,6,31.4002,16.6583,5.2334,0,20260831,350,4.474
A-readout,0.2001,8,31.4002,16.6583,3.925,0,20260831,350,1.57
B-drive,0.2001,8,31.4002,16.6583,3.925,0,20260831,350,5.775
A-readout,0.2001,12,31.4002,16.6583,2.6167,0,20260831,350,0.533
B-drive,0.2001,12,31.4002,16.6583,2.6167,0,20260831,350,5.863
A-readout,0.2001,16,31.4002,16.6583,1.9625,1,20260831,350,1.293
B-drive,0.2001,16,31.4002,16.6583,1.9625,1,20260831,350,5.299
A-readout,0.2585,1,24.3063,12.8949,24.3063,0,20260831,350,2.501
B-drive,0.2585,1,24.3063,12.8949,24.3063,0,20260831,350,2.501
A-readout,0.2585,2,24.3063,12.8949,12.1532,0,20260831,350,1.778
B-drive,0.2585,2,24.3063,12.8949,12.1532,0,20260831,350,3.916
A-readout,0.2585,3,24.3063,12.8949,8.1021,0,20260831,350,2.531
B-drive,0.2585,3,24.3063,12.8949,8.1021,0,20260831,350,4.212
A-readout,0.2585,4,24.3063,12.8949,6.0766,0,20260831,350,1.395
B-drive,0.2585,4,24.3063,12.8949,6.0766,0,20260831,350,3.972
A-readout,0.2585,6,24.3063,12.8949,4.0511,0,20260831,350,1.263
B-drive,0.2585,6,24.3063,12.8949,4.0511,0,20260831,350,5.718
A-readout,0.2585,8,24.3063,12.8949,3.0383,0,20260831,350,1.367
B-drive,0.2585,8,24.3063,12.8949,3.0383,0,20260831,350,5.815
A-readout,0.2585,12,24.3063,12.8949,2.0255,0,20260831,350,0.585
