arm,omega,band_k,period_drive_steps,tau_drive_steps,samples_per_period,aliased,seed,n,ipc
A-readout,1.1992,2,5.2395,2.7796,2.6197,0,20260833,350,2.426
B-drive,1.1992,2,5.2395,2.7796,2.6197,0,20260833,350,5.635
A-readout,1.1992,3,5.2395,2.7796,1.7465,1,20260833,350,3.265
B-drive,1.1992,3,5.2395,2.7796,1.7465,1,20260833,350,4.247
A-readout,1.1992,4,5.2395,2.7796,1.3099,1,20260833,350,1.675
B-drive,1.1992,4,5.2395,2.7796,1.3099,1,20260833,350,3.774
A-readout,1.1992,6,5.2395,2.7796,0.8732,1,20260833,350,1.553
B-drive,1.1992,6,5.2395,2.7796,0.8732,1,20260833,350,2.642
A-readout,1.1992,8,5.2395,2.7796,0.6549,1,20260833,350,1.358
B-drive,1.1992,8,5.2395,2.7796,0.6549,1,20260833,350,2.455
A-readout,1.1992,12,5.2395,2.7796,0.4366,1,20260833,350,0.882
B-drive,1.1992,12,5.2395,2.7796,0.4366,1,20260833,350,1.484
A-readout,1.1992,16,5.2395,2.7796,0.3275,1,20260833,350,1.006
B-drive,1.1992,16,5.2395,2.7796,0.3275,1,20260833,350,1.32
A-readout,1.5486,1,4.0573,2.1525,4.0573,0,20260833,350,5.743
B-drive,1.5486,1,4.0573,2.1525,4.0573,0,20260833,350,5.743
A-readout,1.5486,2,4.0573,2.1525,2.0287,0,20260833,350,2.419
B-drive,1.5486,2,4.0573,2.1525,2.0287,0,20260833,350,4.614
A-readout,1.5486,3,4.0573,2.1525,1.3524,1,20260833,350,3.063
B-drive,1.5486,3,4.0573,2.1525,1.3524,1,20260833,350,3.75
A-readout,1.5486,4,4.0573,2.1525,1.0143,1,20260833,350,1.765
B-drive,1.5486,4,4.0573,2.1525,1.0143,1,20260833,350,2.985
A-readout,1.5486,6,4.0573,2.1525,0.6762,1,20260833,350,1.379
B-drive,1.5486,6,4.0573,2.1525,0.6762,1,20260833,350,2.415
A-readout,1.5486,8,4.0573,2.1525,0.5072,1,20260833,350,1.131
B-drive,1.5486,8,4.0573,2.1525,0.5072,1,20260833,350,1.791
A-readout,1.5486,12,4.0573,2.1525,0.3381,1,20260833,350,1.033
B-drive,1.5486,12,4.0573,2.1525,0.3381,1,20260833,350,1.346
A-readout,1.5486,16,4.0573,2.1525,0.2536,1,20260833,350,0.729
B-drive,1.5486,16,4.0573,2.1525,0.2536,1,20260833,350,0.818
A-readout,2.0,1,3.1416,1.6667,3.1416,0,20260833,350,5.841
B-drive,2.0,1,3.1416,1.6667,3.1416,0,20260833,350,5.841
A-readout,2.0,2,3.1416,1.6667,1.5708,1,20260833,350,2.095
B-drive,2.0,2,3.1416,1.6667,1.5708,1,20260833,350,3.692
A-readout,2.0,3,3.1416,1.6667,1.0472,1,20260833,350,2.497
B-drive,2.0,3,3.1416,1.6667,1.0472,1,20260833,350,3.016
A-readout,2.0,4,3.1416,1.6667,0.7854,1,20260833,350,1.586
B-drive,2.0,4,3.1416,1.6667,0.7854,1,20260833,350,2.461
A-readout,2.0,6,3.1416,1.6667,0.5236,1,20260833,350,1.145
B-drive,2.0,6,3.1416,1.6667,0.5236,1,20260833,350,1.8
A-readout,2.0,8,3.1416,1.6667,0.3927,1,20260833,350,0.952
B-drive,2.0,8,3.1416,1.6667,0.3927,1,20260833,350,1.555
A-readout,2.0,12,3.1416,1.6667,0.2618,1,20260833,350,1.017
B-drive,2.0,12,3.1416,1.6667,0.2618,1,20260833,350,0.816
A-readout,2.0,16,3.1416,1.6667,0.1963,1,20260833,350,0.761
B-drive,2.0,16,3.1416,1.6667,0.1963,1,20260833,350,0.784
A-readout,0.12,1,52.3599,27.7778,52.3599,0,20260834,350,1.084
B-drive,0.12,1,52.3599,27.7778,52.3599,0,20260834,350,1.084
A-readout,0.12,2,52.3599,27.7778,26.1799,0,20260834,350,0.665
B-drive,0.12,2,52.3599,27.7778,26.1799,0,20260834,350,1.956
A-readout,0.12,3,52.3599,27.7778,17.4533,0,20260834,350,1.019
B-drive,0.12,3,52.3599,27.7778,17.4533,0,20260834,350,3.005
A-readout,0.12,4,52.3599,27.7778,13.09,0,20260834,350,1.266
B-drive,0.12,4,52.3599,27.7778,13.09,0,20260834,350,3.676
A-readout,0.12,6,52.3599,27.7778,8.7266,0,20260834,350,1.016
B-drive,0.12,6,52.3599,27.7778,8.7266,0,20260834,350,4.419
A-readout,0.12,8,52.3599,27.7778,6.545,0,20260834,350,0.811
B-drive,0.12,8,52.3599,27.7778,6.545,0,20260834,350,5.447
A-readout,0.12,12,52.3599,27.7778,4.3633,0,20260834,350,0.792
B-drive,0.12,12,52.3599,27.7778,4.3633,0,20260834,350,6.413
A-readout,0.12,16,52.3599,27.7778,3.2725,0,20260834,350,0.575
B-drive,0.12,16,52.3599,27.7778,3.2725,0,20260834,350,6.412
A-readout,0.155,1,40.5367,21.5054,40.5367,0,20260834,350,1.321
B-drive,0.155,1,40.5367,21.5054,40.5367,0,20260834,350,1.321
A-readout,0.155,2,40.5367,21.5054,20.2683,0,20260834,350,1.297
B-drive,0.155,2,40.5367,21.5054,20.2683,0,20260834,350,2.547
A-readout,0.155,3,40.5367,21.5054,13.5122,0,20260834,350,1.078
B-drive,0.155,3,40.5367,21.5054,13.5122,0,20260834,350,3.593
A-readout,0.155,4,40.5367,21.5054,10.1342,0,20260834,350,1.324
B-drive,0.155,4,40.5367,21.5054,10.1342,0,20260834,350,4.199
A-readout,0.155,6,40.5367,21.5054,6.7561,0,20260834,350,0.728
B-drive,0.155,6,40.5367,21.5054,6.7561,0,20260834,350,5.333
A-readout,0.155,8,40.5367,21.5054,5.0671,0,20260834,350,0.891
B-drive,0.155,8,40.5367,21.5054,5.0671,0,20260834,350,5.983
A-readout,0.155,12,40.5367,21.5054,3.3781,0,20260834,350,0.799
B-drive,0.155,12,40.5367,21.5054,3.3781,0,20260834,350,6.517
A-readout,0.155,16,40.5367,21.5054,2.5335,0,20260834,350,0.436
B-drive,0.155,16,40.5367,21.5054,2.5335,0,20260834,350,5.87
A-readout,0.2001,1,31.4002,16.6583,31.4002,0,20260834,350,1.616
B-drive,0.2001,1,31.4002,16.6583,31.4002,0,20260834,350,1.616
A-readout,0.2001,2,31.4002,16.6583,15.7001,0,20260834,350,1.956
B-drive,0.2001,2,31.4002,16.6583,15.7001,0,20260834,350,3.287
A-readout,0.2001,3,31.4002,16.6583,10.4667,0,20260834,350,1.004
B-drive,0.2001,3,31.4002,16.6583,10.4667,0,20260834,350,4.151
A-readout,0.2001,4,31.4002,16.6583,7.8501,0,20260834,350,1.313
B-drive,0.2001,4,31.4002,16.6583,7.8501,0,20260834,350,4.754
A-readout,0.2001,6,31.4002,16.6583,5.2334,0,20260834,350,0.507
B-drive,0.2001,6,31.4002,16.6583,5.2334,0,20260834,350,5.914
A-readout,0.2001,8,31.4002,16.6583,3.925,0,20260834,350,0.914
B-drive,0.2001,8,31.4002,16.6583,3.925,0,20260834,350,6.491
A-readout,0.2001,12,31.4002,16.6583,2.6167,0,20260834,350,0.729
B-drive,0.2001,12,31.4002,16.6583,2.6167,0,20260834,350,5.938
A-readout,0.2001,16,31.4002,16.6583,1.9625,1,20260834,350,0.485
B-drive,0.2001,16,31.4002,16.6583,1.9625,1,20260834,350,4.233
A-readout,0.2585,1,24.3063,12.8949,24.3063,0,20260834,350,2.078
B-drive,0.2585,1,24.3063,12.8949,24.3063,0,20260834,350,2.078
A-readout,0.2585,2,24.3063,12.8949,12.1532,0,20260834,350,2.587
B-drive,0.2585,2,24.3063,12.8949,12.1532,0,20260834,350,3.878
A-readout,0.2585,3,24.3063,12.8949,8.1021,0,20260834,350,0.958
B-drive,0.2585,3,24.3063,12.8949,8.1021,0,20260834,350,4.659
A-readout,0.2585,4,24.3063,12.8949,6.0766,0,20260834,350,1.538
B-drive,0.2585,4,24.3063,12.8949,6.0766,0,20260834,350,5.601
A-readout,0.2585,6,24.3063,12.8949,4.0511,0,20260834,350,0.592
B-drive,0.2585,6,24.3063,12.8949,4.0511,0,20260834,350,6.514
A-readout,0.2585,8,24.3063,12.8949,3.0383,0,20260834,350,1.011
B-drive,0.2585,8,24.3063,12.8949,3.0383,0,20260834,350,6.286
A-readout,0.2585,12,24.3063,12.8949,2.0255,0,20260834,350,0.811
B-drive,0.2585,12,24.3063,12.8949,2.0255,0,20260834,350,4.375
A-readout,0.2585,16,24.3063,12.8949,1.5191,1,20260834,350,0.621
B-drive,0.2585,16,24.3063,12.8949,1.5191,1,20260834,350,3.905
A-readout,0.3338,1,18.8232,9.986,18.8232,0,20260834,350,2.827
B-drive,0.3338,1,18.8232,9.986,18.8232,0,20260834,350,2.827
A-readout,0.3338,2,18.8232,9.986,9.4116,0,20260834,350,3.105
B-drive,0.3338,2,18.8232,9.986,9.4116,0,20260834,350,4.31
A-readout,0.3338,3,18.8232,9.986,6.2744,0,20260834,350,1.291
B-drive,0.3338,3,18.8232,9.986,6.2744,0,20260834,350,5.565
A-readout,0.3338,4,18.8232,9.986,4.7058,0,20260834,350,1.817
B-drive,0.3338,4,18.8232,9.986,4.7058,0,20260834,350,6.229
A-readout,0.3338,6,18.8232,9.986,3.1372,0,20260834,350,0.913
B-drive,0.3338,6,18.8232,9.986,3.1372,0,20260834,350,6.302
A-readout,0.3338,8,18.8232,9.986,2.3529,0,20260834,350,0.919
B-drive,0.3338,8,18.8232,9.986,2.3529,0,20260834,350,5.311
A-readout,0.3338,12,18.8232,9.986,1.5686,1,20260834,350,0.997
B-drive,0.3338,12,18.8232,9.986,1.5686,1,20260834,350,4.063
A-readout,0.3338,16,18.8232,9.986,1.1765,1,20260834,350,0.601
B-drive,0.3338,16,18.8232,9.986,1.1765,1,20260834,350,3.948
A-readout,0.4311,1,14.5748,7.7322,14.5748,0,20260834,350,3.444
B-drive,0.4311,1,14.5748,7.7322,14.5748,0,20260834,350,3.444
A-readout,0.4311,2,14.5748,7.7322,7.2874,0,20260834,350,3.376
B-drive,0.4311,2,14.5748,7.7322,7.2874,0,20260834,350,5.071
A-readout,0.4311,3,14.5748,7.7322,4.8583,0,20260834,350,1.728
B-drive,0.4311,3,14.5748,7.7322,4.8583,0,20260834,350,6.169
A-readout,0.4311,4,14.5748,7.7322,3.6437,0,20260834,350,2.029
B-drive,0.4311,4,14.5748,7.7322,3.6437,0,20260834,350,6.508
A-readout,0.4311,6,14.5748,7.7322,2.4291,0,20260834,350,0.899
B-drive,0.4311,6,14.5748,7.7322,2.4291,0,20260834,350,5.559
A-readout,0.4311,8,14.5748,7.7322,1.8218,1,20260834,350,0.823
B-drive,0.4311,8,14.5748,7.7322,1.8218,1,20260834,350,3.933
A-readout,0.4311,12,14.5748,7.7322,1.2146,1,20260834,350,0.959
B-drive,0.4311,12,14.5748,7.7322,1.2146,1,20260834,350,3.986
A-readout,0.4311,16,14.5748,7.7322,0.9109,1,20260834,350,0.603
B-drive,0.4311,16,14.5748,7.7322,0.9109,1,20260834,350,3.187
A-readout,0.5567,1,11.2865,5.9877,11.2865,0,20260834,350,4.061
B-drive,0.5567,1,11.2865,5.9877,11.2865,0,20260834,350,4.061
A-readout,0.5567,2,11.2865,5.9877,5.6432,0,20260834,350,3.512
B-drive,0.5567,2,11.2865,5.9877,5.6432,0,20260834,350,5.819
A-readout,0.5567,3,11.2865,5.9877,3.7622,0,20260834,350,2.173
B-drive,0.5567,3,11.2865,5.9877,3.7622,0,20260834,350,6.458
A-readout,0.5567,4,11.2865,5.9877,2.8216,0,20260834,350,1.991
B-drive,0.5567,4,11.2865,5.9877,2.8216,0,20260834,350,6.132
A-readout,0.5567,6,11.2865,5.9877,1.8811,1,20260834,350,0.991
B-drive,0.5567,6,11.2865,5.9877,1.8811,1,20260834,350,4.08
A-readout,0.5567,8,11.2865,5.9877,1.4108,1,20260834,350,1.073
B-drive,0.5567,8,11.2865,5.9877,1.4108,1,20260834,350,3.783
A-readout,0.5567,12,11.2865,5.9877,0.9405,1,20260834,350,1.045
B-drive,0.5567,12,11.2865,5.9877,0.9405,1,20260834,350,3.342
A-readout,0.5567,16,11.2865,5.9877,0.7054,1,20260834,350,0.7
B-drive,0.5567,16,11.2865,5.9877,0.7054,1,20260834,350,2.755
A-readout,0.719,1,8.7388,4.6361,8.7388,0,20260834,350,4.528
B-drive,0.719,1,8.7388,4.6361,8.7388,0,20260834,350,4.528
A-readout,0.719,2,8.7388,4.6361,4.3694,0,20260834,350,3.985
B-drive,0.719,2,8.7388,4.6361,4.3694,0,20260834,350,6.496
A-readout,0.719,3,8.7388,4.6361,2.9129,0,20260834,350,2.479
B-drive,0.719,3,8.7388,4.6361,2.9129,0,20260834,350,6.212
A-readout,0.719,4,8.7388,4.6361,2.1847,0,20260834,350,1.838
B-drive,0.719,4,8.7388,4.6361,2.1847,0,20260834,350,4.861
A-readout,0.719,6,8.7388,4.6361,1.4565,1,20260834,350,1.177
B-drive,0.719,6,8.7388,4.6361,1.4565,1,20260834,350,3.711
A-readout,0.719,8,8.7388,4.6361,1.0923,1,20260834,350,1.449
B-drive,0.719,8,8.7388,4.6361,1.0923,1,20260834,350,3.552
A-readout,0.719,12,8.7388,4.6361,0.7282,1,20260834,350,1.053
B-drive,0.719,12,8.7388,4.6361,0.7282,1,20260834,350,2.768
A-readout,0.719,16,8.7388,4.6361,0.5462,1,20260834,350,0.894
B-drive,0.719,16,8.7388,4.6361,0.5462,1,20260834,350,2.466
A-readout,0.9285,1,6.767,3.59,6.767,0,20260834,350,5.538
B-drive,0.9285,1,6.767,3.59,6.767,0,20260834,350,5.538
A-readout,0.9285,2,6.767,3.59,3.3835,0,20260834,350,3.412
B-drive,0.9285,2,6.767,3.59,3.3835,0,20260834,350,6.399
A-readout,0.9285,3,6.767,3.59,2.2557,0,20260834,350,2.57
B-drive,0.9285,3,6.767,3.59,2.2557,0,20260834,350,5.026
A-readout,0.9285,4,6.767,3.59,1.6918,1,20260834,350,1.824
B-drive,0.9285,4,6.767,3.59,1.6918,1,20260834,350,4.024
A-readout,0.9285,6,6.767,3.59,1.1278,1,20260834,350,1.249
B-drive,0.9285,6,6.767,3.59,1.1278,1,20260834,350,3.582
A-readout,0.9285,8,6.767,3.59,0.8459,1,20260834,350,1.567
B-drive,0.9285,8,6.767,3.59,0.8459,1,20260834,350,2.969
A-readout,0.9285,12,6.767,3.59,0.5639,1,20260834,350,0.938
B-drive,0.9285,12,6.767,3.59,0.5639,1,20260834,350,2.46
A-readout,0.9285,16,6.767,3.59,0.4229,1,20260834,350,0.889
B-drive,0.9285,16,6.767,3.59,0.4229,1,20260834,350,1.829
A-readout,1.1992,1,5.2395,2.7796,5.2395,0,20260834,350,6.228
B-drive,1.1992,1,5.2395,2.7796,5.2395,0,20260834,350,6.228
A-readout,1.1992,2,5.2395,2.7796,2.6197,0,20260834,350,3.618
B-drive,1.1992,2,5.2395,2.7796,2.6197,0,20260834,350,5.81
A-readout,1.1992,3,5.2395,2.7796,1.7465,1,20260834,350,2.611
B-drive,1.1992,3,5.2395,2.7796,1.7465,1,20260834,350,3.974
A-readout,1.1992,4,5.2395,2.7796,1.3099,1,20260834,350,2.028
B-drive,1.1992,4,5.2395,2.7796,1.3099,1,20260834,350,3.842
A-readout,1.1992,6,5.2395,2.7796,0.8732,1,20260834,350,1.098
B-drive,1.1992,6,5.2395,2.7796,0.8732,1,20260834,350,2.951
A-readout,1.1992,8,5.2395,2.7796,0.6549,1,20260834,350,1.314
B-drive,1.1992,8,5.2395,2.7796,0.6549,1,20260834,350,2.623
A-readout,1.1992,12,5.2395,2.7796,0.4366,1,20260834,350,0.884
B-drive,1.1992,12,5.2395,2.7796,0.4366,1,20260834,350,1.831
A-readout,1.1992,16,5.2395,2.7796,0.3275,1,20260834,350,0.766
B-drive,1.1992,16,5.2395,2.7796,0.3275,1,20260834,350,1.569
A-readout,1.5486,1,4.0573,2.1525,4.0573,0,20260834,350,6.459
B-drive,1.5486,1,4.0573,2.1525,4.0573,0,20260834,350,6.459
A-readout,1.5486,2,4.0573,2.1525,2.0287,0,20260834,350,3.675
B-drive,1.5486,2,4.0573,2.1525,2.0287,0,20260834,350,4.332
A-readout,1.5486,3,4.0573,2.1525,1.3524,1,20260834,350,2.405
B-drive,1.5486,3,4.0573,2.1525,1.3524,1,20260834,350,3.794
A-readout,1.5486,4,4.0573,2.1525,1.0143,1,20260834,350,1.805
B-drive,1.5486,4,4.0573,2.1525,1.0143,1,20260834,350,3.381
A-readout,1.5486,6,4.0573,2.1525,0.6762,1,20260834,350,1.17
B-drive,1.5486,6,4.0573,2.1525,0.6762,1,20260834,350,2.641
A-readout,1.5486,8,4.0573,2.1525,0.5072,1,20260834,350,1.108
B-drive,1.5486,8,4.0573,2.1525,0.5072,1,20260834,350,1.898
A-readout,1.5486,12,4.0573,2.1525,0.3381,1,20260834,350,0.668
B-drive,1.5486,12,4.0573,2.1525,0.3381,1,20260834,350,1.563
A-readout,1.5486,16,4.0573,2.1525,0.2536,1,20260834,350,0.706
B-drive,1.5486,16,4.0573,2.1525,0.2536,1,20260834,350,0.791
A-readout,2.0,1,3.1416,1.6667,3.1416,0,20260834,350,6.288
B-drive,2.0,1,3.1416,1.6667,3.1416,0,20260834,350,6.288
A-readout,2.0,2,3.1416,1.6667,1.5708,1,20260834,350,3.093
B-drive,2.0,2,3.1416,1.6667,1.5708,1,20260834,350,3.532
A-readout,2.0,3,3.1416,1.6667,1.0472,1,20260834,350,2.139
B-drive,2.0,3,3.1416,1.6667,1.0472,1,20260834,350,3.346
A-readout,2.0,4,3.1416,1.6667,0.7854,1,20260834,350,1.54
B-drive,2.0,4,3.1416,1.6667,0.7854,1,20260834,350,2.74
A-readout,2.0,6,3.1416,1.6667,0.5236,1,20260834,350,1.001
B-drive,2.0,6,3.1416,1.6667,0.5236,1,20260834,350,1.904
A-readout,2.0,8,3.1416,1.6667,0.3927,1,20260834,350,1.153
B-drive,2.0,8,3.1416,1.6667,0.3927,1,20260834,350,1.765
A-readout,2.0,12,3.1416,1.6667,0.2618,1,20260834,350,0.517
B-drive,2.0,12,3.1416,1.6667,0.2618,1,20260834,350,0.758
A-readout,2.0,16,3.1416,1.6667,0.1963,1,20260834,350,0.517
B-drive,2.0,16,3.1416,1.6667,0.1963,1,20260834,350,0.671
