substrate,arm,band_k,seed,n,m_streams,ipc,mc,kr,gr
spring-mid (omega 0.6),A-readout,8,20260835,350,60,1.013,0.201,37.0,9.0
spring-mid (omega 0.6),B-drive,8,20260835,350,60,3.593,1.812,23.0,5.0
spring-slow (omega 0.2),A-readout,1,20260835,350,60,1.67,0.283,31.0,11.0
spring-slow (omega 0.2),B-drive,1,20260835,350,60,1.67,0.283,31.0,11.0
spring-slow (omega 0.2),A-readout,2,20260835,350,60,1.727,0.981,31.0,10.0
spring-slow (omega 0.2),B-drive,2,20260835,350,60,1.709,0.831,35.0,10.0
spring-slow (omega 0.2),A-readout,4,20260835,350,60,1.775,0.892,31.0,9.0
spring-slow (omega 0.2),B-drive,4,20260835,350,60,3.731,2.501,39.0,12.0
spring-slow (omega 0.2),A-readout,8,20260835,350,60,1.569,0.447,30.0,9.0
spring-slow (omega 0.2),B-drive,8,20260835,350,60,6.211,3.804,41.0,10.0
spring-fast (omega 2.0),A-readout,1,20260836,350,60,6.35,3.082,41.0,11.0
spring-fast (omega 2.0),B-drive,1,20260836,350,60,6.35,3.082,41.0,11.0
spring-fast (omega 2.0),A-readout,2,20260836,350,60,3.368,1.145,39.0,8.0
spring-fast (omega 2.0),B-drive,2,20260836,350,60,3.984,1.756,27.0,8.0
spring-fast (omega 2.0),A-readout,4,20260836,350,60,1.664,0.533,39.0,11.0
spring-fast (omega 2.0),B-drive,4,20260836,350,60,2.358,0.94,15.0,5.0
spring-fast (omega 2.0),A-readout,8,20260836,350,60,0.792,0.076,40.0,10.0
spring-fast (omega 2.0),B-drive,8,20260836,350,60,1.229,0.124,6.0,4.0
spring-mid (omega 0.6),A-readout,1,20260836,350,60,4.088,2.418,39.0,13.0
spring-mid (omega 0.6),B-drive,1,20260836,350,60,4.088,2.418,39.0,13.0
spring-mid (omega 0.6),A-readout,2,20260836,350,60,4.184,2.479,40.0,14.0
spring-mid (omega 0.6),B-drive,2,20260836,350,60,5.591,3.28,42.0,12.0
spring-mid (omega 0.6),A-readout,4,20260836,350,60,2.699,1.54,39.0,12.0
spring-mid (omega 0.6),B-drive,4,20260836,350,60,6.0,3.126,39.0,9.0
spring-mid (omega 0.6),A-readout,8,20260836,350,60,0.828,0.265,40.0,10.0
spring-mid (omega 0.6),B-drive,8,20260836,350,60,3.951,1.738,26.0,8.0
spring-slow (omega 0.2),A-readout,1,20260836,350,60,1.671,0.656,31.0,12.0
spring-slow (omega 0.2),B-drive,1,20260836,350,60,1.671,0.656,31.0,12.0
spring-slow (omega 0.2),A-readout,2,20260836,350,60,1.808,0.732,30.0,12.0
spring-slow (omega 0.2),B-drive,2,20260836,350,60,3.215,1.489,37.0,13.0
spring-slow (omega 0.2),A-readout,4,20260836,350,60,1.417,0.68,30.0,12.0
spring-slow (omega 0.2),B-drive,4,20260836,350,60,4.418,3.141,41.0,13.0
spring-slow (omega 0.2),A-readout,8,20260836,350,60,0.523,0.025,34.0,11.0
spring-slow (omega 0.2),B-drive,8,20260836,350,60,6.144,3.47,43.0,10.0
spring-fast (omega 2.0),A-readout,1,20260837,350,60,5.899,2.722,37.0,11.0
spring-fast (omega 2.0),B-drive,1,20260837,350,60,5.899,2.722,37.0,11.0
spring-fast (omega 2.0),A-readout,2,20260837,350,60,3.484,1.071,36.0,9.0
spring-fast (omega 2.0),B-drive,2,20260837,350,60,3.714,1.771,23.0,10.0
spring-fast (omega 2.0),A-readout,4,20260837,350,60,1.856,0.462,35.0,9.0
spring-fast (omega 2.0),B-drive,4,20260837,350,60,2.661,0.556,13.0,7.0
spring-fast (omega 2.0),A-readout,8,20260837,350,60,1.135,0.153,35.0,8.0
spring-fast (omega 2.0),B-drive,8,20260837,350,60,1.415,0.066,6.0,4.0
spring-mid (omega 0.6),A-readout,1,20260837,350,60,4.326,2.306,36.0,11.0
spring-mid (omega 0.6),B-drive,1,20260837,350,60,4.326,2.306,36.0,11.0
spring-mid (omega 0.6),A-readout,2,20260837,350,60,4.657,2.561,35.0,10.0
spring-mid (omega 0.6),B-drive,2,20260837,350,60,5.856,3.147,39.0,12.0
spring-mid (omega 0.6),A-readout,4,20260837,350,60,1.647,0.616,35.0,9.0
spring-mid (omega 0.6),B-drive,4,20260837,350,60,5.394,2.43,34.0,12.0
spring-mid (omega 0.6),A-readout,8,20260837,350,60,1.272,0.232,35.0,13.0
spring-mid (omega 0.6),B-drive,8,20260837,350,60,3.651,1.595,22.0,9.0
spring-slow (omega 0.2),A-readout,1,20260837,350,60,2.215,1.159,31.0,10.0
spring-slow (omega 0.2),B-drive,1,20260837,350,60,2.215,1.159,31.0,10.0
spring-slow (omega 0.2),A-readout,2,20260837,350,60,1.878,0.878,31.0,10.0
spring-slow (omega 0.2),B-drive,2,20260837,350,60,3.251,2.109,33.0,10.0
spring-slow (omega 0.2),A-readout,4,20260837,350,60,0.91,0.392,28.0,10.0
spring-slow (omega 0.2),B-drive,4,20260837,350,60,4.95,2.83,39.0,11.0
spring-slow (omega 0.2),A-readout,8,20260837,350,60,0.744,0.071,28.0,10.0
spring-slow (omega 0.2),B-drive,8,20260837,350,60,6.231,3.456,39.0,12.0
spring-fast (omega 2.0),A-readout,1,20260838,350,60,5.186,2.616,37.0,8.0
spring-fast (omega 2.0),B-drive,1,20260838,350,60,5.186,2.616,37.0,8.0
spring-fast (omega 2.0),A-readout,2,20260838,350,60,3.277,1.179,39.0,10.0
spring-fast (omega 2.0),B-drive,2,20260838,350,60,3.938,2.05,27.0,6.0
spring-fast (omega 2.0),A-readout,4,20260838,350,60,1.626,0.487,37.0,7.0
spring-fast (omega 2.0),B-drive,4,20260838,350,60,2.171,0.734,16.0,4.0
spring-fast (omega 2.0),A-readout,8,20260838,350,60,0.886,0.134,40.0,11.0
spring-fast (omega 2.0),B-drive,8,20260838,350,60,1.015,0.121,7.0,3.0
spring-mid (omega 0.6),A-readout,1,20260838,350,60,4.126,2.627,38.0,10.0
spring-mid (omega 0.6),B-drive,1,20260838,350,60,4.126,2.627,38.0,10.0
spring-mid (omega 0.6),A-readout,2,20260838,350,60,2.814,1.79,37.0,11.0
spring-mid (omega 0.6),B-drive,2,20260838,350,60,5.529,3.102,42.0,10.0
spring-mid (omega 0.6),A-readout,4,20260838,350,60,1.866,0.643,37.0,14.0
spring-mid (omega 0.6),B-drive,4,20260838,350,60,4.437,2.27,37.0,8.0
spring-mid (omega 0.6),A-readout,8,20260838,350,60,1.723,0.534,37.0,12.0
spring-mid (omega 0.6),B-drive,8,20260838,350,60,4.211,2.084,25.0,6.0
spring-slow (omega 0.2),A-readout,1,20260838,350,60,1.765,0.706,31.0,11.0
spring-slow (omega 0.2),B-drive,1,20260838,350,60,1.765,0.706,31.0,11.0
spring-slow (omega 0.2),A-readout,2,20260838,350,60,0.668,0.054,31.0,9.0
spring-slow (omega 0.2),B-drive,2,20260838,350,60,2.928,1.816,36.0,9.0
spring-slow (omega 0.2),A-readout,4,20260838,350,60,1.615,0.9,31.0,9.0
spring-slow (omega 0.2),B-drive,4,20260838,350,60,4.923,2.96,40.0,11.0
spring-slow (omega 0.2),A-readout,8,20260838,350,60,1.291,0.499,31.0,10.0
spring-slow (omega 0.2),B-drive,8,20260838,350,60,5.758,3.09,42.0,10.0
spring-fast (omega 2.0),A-readout,1,20260839,350,60,6.658,4.165,37.0,14.0
spring-fast (omega 2.0),B-drive,1,20260839,350,60,6.658,4.165,37.0,14.0
spring-fast (omega 2.0),A-readout,2,20260839,350,60,2.301,1.416,38.0,12.0
spring-fast (omega 2.0),B-drive,2,20260839,350,60,4.495,2.531,24.0,9.0
spring-fast (omega 2.0),A-readout,4,20260839,350,60,2.05,0.741,38.0,7.0
spring-fast (omega 2.0),B-drive,4,20260839,350,60,2.305,1.626,14.0,5.0
spring-fast (omega 2.0),A-readout,8,20260839,350,60,0.955,0.143,38.0,8.0
spring-fast (omega 2.0),B-drive,8,20260839,350,60,1.392,0.346,7.0,4.0
spring-mid (omega 0.6),A-readout,1,20260839,350,60,2.719,1.145,37.0,11.0
spring-mid (omega 0.6),B-drive,1,20260839,350,60,2.719,1.145,37.0,11.0
spring-mid (omega 0.6),A-readout,2,20260839,350,60,3.198,2.053,36.0,11.0
spring-mid (omega 0.6),B-drive,2,20260839,350,60,5.983,2.326,41.0,12.0
spring-mid (omega 0.6),A-readout,4,20260839,350,60,1.218,0.464,37.0,11.0
spring-mid (omega 0.6),B-drive,4,20260839,350,60,6.304,3.866,36.0,14.0
spring-mid (omega 0.6),A-readout,8,20260839,350,60,1.357,0.28,36.0,11.0
spring-mid (omega 0.6),B-drive,8,20260839,350,60,4.196,1.852,23.0,8.0
spring-slow (omega 0.2),A-readout,1,20260839,350,60,1.677,0.526,31.0,9.0
spring-slow (omega 0.2),B-drive,1,20260839,350,60,1.677,0.526,31.0,9.0
spring-slow (omega 0.2),A-readout,2,20260839,350,60,2.307,0.706,30.0,9.0
spring-slow (omega 0.2),B-drive,2,20260839,350,60,1.827,0.852,33.0,9.0
spring-slow (omega 0.2),A-readout,4,20260839,350,60,1.66,1.045,28.0,10.0
spring-slow (omega 0.2),B-drive,4,20260839,350,60,3.306,1.381,39.0,12.0
spring-slow (omega 0.2),A-readout,8,20260839,350,60,0.99,0.401,28.0,9.0
spring-slow (omega 0.2),B-drive,8,20260839,350,60,6.747,3.232,41.0,13.0
