family,substrate,tau_drive_steps,arm,band_k,seed,n,ipc
mass-spring,spring-fast (omega 2.0),1.67,A-readout,1,20260834,350,6.288
mass-spring,spring-fast (omega 2.0),1.67,B-drive,1,20260834,350,6.288
mass-spring,spring-fast (omega 2.0),1.67,A-readout,2,20260834,350,3.093
mass-spring,spring-fast (omega 2.0),1.67,B-drive,2,20260834,350,3.532
mass-spring,spring-fast (omega 2.0),1.67,A-readout,4,20260834,350,1.54
mass-spring,spring-fast (omega 2.0),1.67,B-drive,4,20260834,350,2.74
mass-spring,spring-fast (omega 2.0),1.67,A-readout,8,20260834,350,1.153
mass-spring,spring-fast (omega 2.0),1.67,B-drive,8,20260834,350,1.765
mass-spring,spring-mid (omega 0.6),5.56,A-readout,1,20260834,350,4.183
mass-spring,spring-mid (omega 0.6),5.56,B-drive,1,20260834,350,4.183
mass-spring,spring-mid (omega 0.6),5.56,A-readout,2,20260834,350,3.529
mass-spring,spring-mid (omega 0.6),5.56,B-drive,2,20260834,350,6.012
mass-spring,spring-mid (omega 0.6),5.56,A-readout,4,20260834,350,1.917
mass-spring,spring-mid (omega 0.6),5.56,B-drive,4,20260834,350,5.891
mass-spring,spring-mid (omega 0.6),5.56,A-readout,8,20260834,350,1.222
mass-spring,spring-mid (omega 0.6),5.56,B-drive,8,20260834,350,3.879
mass-spring,spring-slow (omega 0.2),16.67,A-readout,1,20260834,350,1.615
mass-spring,spring-slow (omega 0.2),16.67,B-drive,1,20260834,350,1.615
mass-spring,spring-slow (omega 0.2),16.67,A-readout,2,20260834,350,1.955
mass-spring,spring-slow (omega 0.2),16.67,B-drive,2,20260834,350,3.286
mass-spring,spring-slow (omega 0.2),16.67,A-readout,4,20260834,350,1.312
mass-spring,spring-slow (omega 0.2),16.67,B-drive,4,20260834,350,4.753
mass-spring,spring-slow (omega 0.2),16.67,A-readout,8,20260834,350,0.914
mass-spring,spring-slow (omega 0.2),16.67,B-drive,8,20260834,350,6.491
esn,esn-fast (leak 1.0),1.0,A-readout,1,20260835,350,7.745
esn,esn-fast (leak 1.0),1.0,B-drive,1,20260835,350,7.745
esn,esn-fast (leak 1.0),1.0,A-readout,2,20260835,350,4.996
esn,esn-fast (leak 1.0),1.0,B-drive,2,20260835,350,4.754
esn,esn-fast (leak 1.0),1.0,A-readout,4,20260835,350,2.45
esn,esn-fast (leak 1.0),1.0,B-drive,4,20260835,350,2.777
esn,esn-fast (leak 1.0),1.0,A-readout,8,20260835,350,1.345
esn,esn-fast (leak 1.0),1.0,B-drive,8,20260835,350,1.909
esn,esn-mid (leak 0.3),2.8,A-readout,1,20260835,350,1.902
esn,esn-mid (leak 0.3),2.8,B-drive,1,20260835,350,1.902
