substrate,arm,band_k,seed,n,m_streams,ipc,mc,kr,gr
esn-mid (leak 0.3),B-drive,2,20260835,350,60,2.772,1.301,31.0,9.0
esn-mid (leak 0.3),A-readout,4,20260835,350,60,1.456,0.503,30.0,10.0
esn-mid (leak 0.3),B-drive,4,20260835,350,60,3.624,1.656,31.0,7.0
esn-mid (leak 0.3),A-readout,8,20260835,350,60,1.254,0.33,30.0,7.0
esn-mid (leak 0.3),B-drive,8,20260835,350,60,3.191,1.794,26.0,5.0
esn-slow (leak 0.1),A-readout,1,20260835,350,60,1.116,0.256,21.0,12.0
esn-slow (leak 0.1),B-drive,1,20260835,350,60,1.116,0.256,21.0,12.0
esn-slow (leak 0.1),A-readout,2,20260835,350,60,1.455,0.667,22.0,11.0
esn-slow (leak 0.1),B-drive,2,20260835,350,60,1.415,0.342,25.0,10.0
esn-slow (leak 0.1),A-readout,4,20260835,350,60,1.017,0.104,23.0,12.0
esn-slow (leak 0.1),B-drive,4,20260835,350,60,1.97,0.571,26.0,10.0
esn-slow (leak 0.1),A-readout,8,20260835,350,60,1.366,0.344,22.0,7.0
esn-slow (leak 0.1),B-drive,8,20260835,350,60,2.858,1.193,29.0,8.0
esn-fast (leak 1.0),A-readout,1,20260836,350,60,7.97,5.166,58.0,14.0
esn-fast (leak 1.0),B-drive,1,20260836,350,60,7.97,5.166,58.0,14.0
esn-fast (leak 1.0),A-readout,2,20260836,350,60,5.336,2.976,57.0,13.0
esn-fast (leak 1.0),B-drive,2,20260836,350,60,6.461,3.381,51.0,11.0
esn-fast (leak 1.0),A-readout,4,20260836,350,60,2.705,1.447,58.0,15.0
esn-fast (leak 1.0),B-drive,4,20260836,350,60,3.367,1.748,35.0,7.0
esn-fast (leak 1.0),A-readout,8,20260836,350,60,1.409,0.626,57.0,13.0
esn-fast (leak 1.0),B-drive,8,20260836,350,60,2.194,0.823,17.0,4.0
esn-mid (leak 0.3),A-readout,1,20260836,350,60,2.469,1.082,35.0,13.0
esn-mid (leak 0.3),B-drive,1,20260836,350,60,2.469,1.082,35.0,13.0
esn-mid (leak 0.3),A-readout,2,20260836,350,60,2.027,0.944,35.0,14.0
esn-mid (leak 0.3),B-drive,2,20260836,350,60,3.413,1.633,36.0,10.0
esn-mid (leak 0.3),A-readout,4,20260836,350,60,1.403,0.37,36.0,14.0
esn-mid (leak 0.3),B-drive,4,20260836,350,60,4.055,2.289,33.0,8.0
esn-mid (leak 0.3),A-readout,8,20260836,350,60,0.689,0.11,36.0,13.0
esn-mid (leak 0.3),B-drive,8,20260836,350,60,3.917,2.209,27.0,7.0
esn-slow (leak 0.1),A-readout,1,20260836,350,60,1.319,0.483,25.0,14.0
esn-slow (leak 0.1),B-drive,1,20260836,350,60,1.319,0.483,25.0,14.0
esn-slow (leak 0.1),A-readout,2,20260836,350,60,1.009,0.39,24.0,14.0
esn-slow (leak 0.1),B-drive,2,20260836,350,60,1.748,0.763,28.0,12.0
esn-slow (leak 0.1),A-readout,4,20260836,350,60,0.759,0.073,26.0,14.0
esn-slow (leak 0.1),B-drive,4,20260836,350,60,2.525,1.165,31.0,11.0
esn-slow (leak 0.1),A-readout,8,20260836,350,60,0.51,0.064,25.0,15.0
esn-slow (leak 0.1),B-drive,8,20260836,350,60,3.286,1.789,31.0,9.0
esn-fast (leak 1.0),A-readout,1,20260837,350,60,7.905,5.624,55.0,12.0
esn-fast (leak 1.0),B-drive,1,20260837,350,60,7.905,5.624,55.0,12.0
esn-fast (leak 1.0),A-readout,2,20260837,350,60,5.473,2.753,55.0,11.0
esn-fast (leak 1.0),B-drive,2,20260837,350,60,5.914,3.785,45.0,11.0
