substrate,arm,band_k,max_delay,basis_terms,samples_per_term,feasible,seed,n,ipc
esn-slow (leak 0.1),B-drive,8,4,14,25.0,1,20260830,350,2.375
esn-slow (leak 0.1),B-drive,8,8,44,7.955,1,20260830,350,3.929
esn-slow (leak 0.1),B-drive,8,16,152,2.303,1,20260830,350,6.41
esn-slow (leak 0.1),B-drive,8,32,560,0.625,0,20260830,350,14.602
esn-fast (leak 1.0),A-readout,1,2,5,70.0,1,20260831,350,2.093
esn-fast (leak 1.0),A-readout,1,4,14,25.0,1,20260831,350,4.205
esn-fast (leak 1.0),A-readout,1,8,44,7.955,1,20260831,350,7.891
esn-fast (leak 1.0),A-readout,1,16,152,2.303,1,20260831,350,10.799
esn-fast (leak 1.0),A-readout,1,32,560,0.625,0,20260831,350,17.833
esn-fast (leak 1.0),B-drive,1,2,5,70.0,1,20260831,350,2.093
esn-fast (leak 1.0),B-drive,1,4,14,25.0,1,20260831,350,4.205
esn-fast (leak 1.0),B-drive,1,8,44,7.955,1,20260831,350,7.891
esn-fast (leak 1.0),B-drive,1,16,152,2.303,1,20260831,350,10.799
esn-fast (leak 1.0),B-drive,1,32,560,0.625,0,20260831,350,17.833
esn-fast (leak 1.0),A-readout,2,2,5,70.0,1,20260831,350,2.004
esn-fast (leak 1.0),A-readout,2,4,14,25.0,1,20260831,350,3.789
esn-fast (leak 1.0),A-readout,2,8,44,7.955,1,20260831,350,4.631
esn-fast (leak 1.0),A-readout,2,16,152,2.303,1,20260831,350,6.301
esn-fast (leak 1.0),A-readout,2,32,560,0.625,0,20260831,350,13.929
esn-fast (leak 1.0),B-drive,2,2,5,70.0,1,20260831,350,2.23
esn-fast (leak 1.0),B-drive,2,4,14,25.0,1,20260831,350,4.194
esn-fast (leak 1.0),B-drive,2,8,44,7.955,1,20260831,350,5.895
esn-fast (leak 1.0),B-drive,2,16,152,2.303,1,20260831,350,7.344
esn-fast (leak 1.0),B-drive,2,32,560,0.625,0,20260831,350,14.09
esn-fast (leak 1.0),A-readout,4,2,5,70.0,1,20260831,350,1.789
esn-fast (leak 1.0),A-readout,4,4,14,25.0,1,20260831,350,2.284
esn-fast (leak 1.0),A-readout,4,8,44,7.955,1,20260831,350,2.739
esn-fast (leak 1.0),A-readout,4,16,152,2.303,1,20260831,350,4.674
esn-fast (leak 1.0),A-readout,4,32,560,0.625,0,20260831,350,11.823
esn-fast (leak 1.0),B-drive,4,2,5,70.0,1,20260831,350,1.907
esn-fast (leak 1.0),B-drive,4,4,14,25.0,1,20260831,350,2.802
esn-fast (leak 1.0),B-drive,4,8,44,7.955,1,20260831,350,3.177
esn-fast (leak 1.0),B-drive,4,16,152,2.303,1,20260831,350,4.927
esn-fast (leak 1.0),B-drive,4,32,560,0.625,0,20260831,350,11.922
esn-fast (leak 1.0),A-readout,8,2,5,70.0,1,20260831,350,0.871
esn-fast (leak 1.0),A-readout,8,4,14,25.0,1,20260831,350,0.912
esn-fast (leak 1.0),A-readout,8,8,44,7.955,1,20260831,350,1.513
esn-fast (leak 1.0),A-readout,8,16,152,2.303,1,20260831,350,3.638
esn-fast (leak 1.0),A-readout,8,32,560,0.625,0,20260831,350,9.381
esn-fast (leak 1.0),B-drive,8,2,5,70.0,1,20260831,350,1.14
esn-fast (leak 1.0),B-drive,8,4,14,25.0,1,20260831,350,1.261
esn-fast (leak 1.0),B-drive,8,8,44,7.955,1,20260831,350,1.671
esn-fast (leak 1.0),B-drive,8,16,152,2.303,1,20260831,350,3.269
